sample,species,nReads
SA_201803,Pseudochattonella farcimen,5
SA_201803,Pyramimonas parkeae,10
SA_201803,Pythium tracheiphilum,266
SA_201803,Rhizosolenia setigera,233
SA_201803,Skeletonema dohrnii,31
SA_201803,Skeletonema japonicum,23846
SA_201803,Stelligera rigida,236
SA_201803,Synchaeta pectinata,28
SA_201803,Thalassionema nitzschioides,741
SA_201803,Thalassiosira nordenskioeldii,3466
SA_201803,Thysanoessa raschii,8760
SA_201803,NA,311985
SA_201805,Acartia longiremis,374
SA_201805,Aequorea sp. MW-2012,31
SA_201805,Alitta sp. CMC01,352
SA_201805,Anisolpidium ectocarpii,9
SA_201805,Asterionellopsis glacialis,8
SA_201805,Attheya longicornis,87
SA_201805,Balanus balanus,257
SA_201805,Balanus glandula,11896
SA_201805,Calanus pacificus,485
SA_201805,Caulacanthus ustulatus,9
SA_201805,Centropages abdominalis,8573
SA_201805,Chaetoceros socialis,845
SA_201805,Chattonella subsalsa,1085
SA_201805,Chondracanthus exasperatus,9
SA_201805,Chordariaceae sp. 7 AP-2014,60
SA_201805,Chrysaora melanaster,32
SA_201805,Chrysochromulina sp. CCMP291,28
SA_201805,Chthamalus dalli,332
SA_201805,Coscinodiscus wailesii,2982
SA_201805,Cylindrotheca closterium,185
SA_201805,Cylindrotheca fusiformis,60
SA_201805,Dendraster excentricus,99
SA_201805,Dictyocha speculum,5526
SA_201805,Ditylum brightwellii,47
SA_201805,Dolichomastix tenuilepis,4
SA_201805,Emplectonema sp. 1 TCH-2015,22
SA_201805,Gracilaria vermiculophylla,66
SA_201805,Halichondria panicea,11
SA_201805,Harpacticoida sp. DNZ085,6
SA_201805,Hemigrapsus oregonensis,14
SA_201805,Lacuna vincta,15
SA_201805,Leuckartiara octona,138
SA_201805,Lichtheimia ramosa,154
SA_201805,Littorina plena,362
SA_201805,Membranipora membranacea,198
SA_201805,Metridia pacifica,1753
SA_201805,Micromonas pusilla,5844
SA_201805,Minutocellus polymorphus,2297
SA_201805,Navicula cryptocephala,107
SA_201805,Navicula ramosissima,65
SA_201805,Navicula sp. BOLD:AAO6951,87
SA_201805,Nereis vexillosa,163
SA_201805,Nitzschia cf. promare,74
SA_201805,Onchidoris bilamellata,8
SA_201805,Oncorhynchus keta,508
SA_201805,Ostrea lurida,212
SA_201805,Paracalanus sp. C AC-2013,171
SA_201805,Paramoeba pemaquidensis,13
SA_201805,Pedospumella sinomuralis,40
SA_201805,Phacellophora camtschatica,1156
SA_201805,Phyllodoce medipapillata,4
SA_201805,Pinnularia sp. 5 CS-2011,432
SA_201805,Plagiogramma sp. IAL-2014a,90
SA_201805,Protoperidinium cf. depressum,103
SA_201805,Pseudocalanus newmani,1303
SA_201805,Pycnococcus provasolii,20
SA_201805,Pyropia haitanensis,266
SA_201805,Pythium pachycaule,100
SA_201805,Pythium tracheiphilum,67
SA_201805,Ralfsioid sp. 4GWS,13
SA_201805,Rhizosolenia setigera,423
SA_201805,Rhodotorula taiwanensis,47
SA_201805,Scolelepis squamata,9606
SA_201805,Sellaphora pupula,8
SA_201805,Skeletonema japonicum,97
SA_201805,Stephanopyxis turris,11
SA_201805,Thalassionema nitzschioides,211
SA_201805,Thalassiosira nordenskioeldii,14091
SA_201805,Thalassiosira punctigera,59
SA_201805,Triparma laevis,618
SA_201805,Wildemania amplissima,156
SA_201805,NA,215239
SA_201807,Acartia longiremis,3525
SA_201807,Aphanomyces sp. BOLD:AAO9952,3
SA_201807,Asterionellopsis guyunusae,58
SA_201807,Attheya longicornis,7
SA_201807,Bathycoccus prasinos,8618
SA_201807,Calanus pacificus,2661
SA_201807,Chaetoceros socialis,372
SA_201807,Chaetoceros sp. MBTD-CMFRI-S062,83
SA_201807,Chattonella subsalsa,14
SA_201807,Chondracanthus exasperatus,6
SA_201807,Cliona chilensis,427
SA_201807,Coscinodiscus wailesii,643
SA_201807,Cylindrotheca closterium,151
SA_201807,Cylindrotheca fusiformis,135
SA_201807,Dendraster excentricus,74
SA_201807,Dictyocha speculum,428
SA_201807,Ditylum brightwellii,91
SA_201807,Emiliania huxleyi,23318
SA_201807,Gracilaria vermiculophylla,349
SA_201807,Heterocapsa rotundata,121
SA_201807,Karlodinium veneficum,6
SA_201807,Membranipora membranacea,265
SA_201807,Micromonas pusilla,14470
SA_201807,Minutocellus polymorphus,5920
SA_201807,Navicula cryptocephala,14
SA_201807,Navicula glaciei,28
SA_201807,Nitzschia cf. promare,155
SA_201807,Nitzschia longissima,148
SA_201807,Paracalanus sp. C AC-2013,4680
SA_201807,Penicillium rubens,2383
SA_201807,Penicillium sclerotiorum,7
SA_201807,Phaeocystis antarctica,1080
SA_201807,Phaeocystis globosa,44
SA_201807,Phytophthora multivora,4
SA_201807,Poteriospumella lacustris,60
SA_201807,Pseudo-nitzschia delicatissima,44
SA_201807,Pseudo-nitzschia hasleana,972
SA_201807,Pseudocalanus newmani,6727
SA_201807,Pseudochattonella farcimen,455
SA_201807,Pycnococcus provasolii,655
SA_201807,Pythium tracheiphilum,183
SA_201807,Rhizosolenia setigera,1890
SA_201807,Rhodotorula taiwanensis,94
SA_201807,Ruditapes philippinarum,67
SA_201807,Skeletonema cf. pseudocostatum,48
SA_201807,Skeletonema dohrnii,5
SA_201807,Skeletonema japonicum,148
SA_201807,Styela gibbsii,167
SA_201807,Thalassionema nitzschioides,8770
SA_201807,Thalassiosira nordenskioeldii,7528
SA_201807,Triparma laevis,98
SA_201807,NA,140359
TR_201703,Balanus glandula,14651
TR_201703,Barantolla americana CMC01,34
TR_201703,Bathycoccus prasinos,264357
TR_201703,Chaetoceros socialis,7
TR_201703,Chattonella subsalsa,512
TR_201703,Chordariaceae sp. 7 AP-2014,9
TR_201703,Chrysochromulina sp. CCMP291,43
TR_201703,Chthamalus dalli,2431
TR_201703,Coscinodiscus wailesii,36
TR_201703,Dictyocha speculum,938
TR_201703,Ectocarpus siliculosus,81
TR_201703,Emiliania huxleyi,145
TR_201703,Haramonas dimorpha,21
TR_201703,Hematodinium sp.,179
TR_201703,Heterocapsa rotundata,7
TR_201703,Homo sapiens,202
TR_201703,Karlodinium veneficum,24
TR_201703,Megacyclops viridis,5
TR_201703,Micromonas pusilla,75444
TR_201703,Minutocellus polymorphus,2542
TR_201703,Navicula ramosissima,22
TR_201703,Nereis vexillosa,3
TR_201703,Peronospora violae,37
TR_201703,Phaeocystis antarctica,144026
TR_201703,Phaeocystis globosa,35
TR_201703,Phoronopsis harmeri,701
TR_201703,Pisaster ochraceus,9
TR_201703,Platynereis sp. CMC02,3
TR_201703,Poteriospumella lacustris,4626
TR_201703,Pseudochattonella farcimen,40
TR_201703,Pythium sp. CAL-2011c,12
TR_201703,Pythium tracheiphilum,34
TR_201703,Rhizosolenia setigera,1017
TR_201703,Ruditapes philippinarum,5
TR_201703,Saxidomus gigantea,3
TR_201703,Scopalina ruetzleri,5
TR_201703,Skeletonema cf. pseudocostatum,2
TR_201703,Skeletonema dohrnii,33
TR_201703,Stelligera rigida,84
TR_201703,Thalassionema nitzschioides,24
TR_201703,Thalassiosira nordenskioeldii,544
TR_201703,Triparma laevis,48911
TR_201703,NA,62449
TR_201705,Acartia longiremis,44
TR_201705,Aequorea sp. MW-2012,322
TR_201705,Aglaja ocelligera,345
TR_201705,Albugo candida,4
TR_201705,Alitta sp. CMC01,132
TR_201705,Amphicaryon earnesti,7
TR_201705,Apodachlya minima,10
TR_201705,Asterionellopsis glacialis,15
TR_201705,Asterionellopsis guyunusae,59
TR_201705,Attheya longicornis,2175
TR_201705,Balanus balanus,57
TR_201705,Balanus glandula,13
TR_201705,Bathycoccus prasinos,1329
TR_201705,Brachionidae sp. SHYT150702c,676
TR_201705,Calanus pacificus,860
TR_201705,Caulacanthus ustulatus,20
TR_201705,Centropages abdominalis,54204
TR_201705,Chaetoceros socialis,9707
TR_201705,Chattonella subsalsa,54
TR_201705,Chrysochromulina sp. CCMP291,756
TR_201705,Chthamalus dalli,824
TR_201705,Cliona chilensis,596
TR_201705,Coscinodiscus wailesii,106
TR_201705,Cylindrotheca closterium,917
TR_201705,Cymatogaster aggregata,7
TR_201705,Cymbomonas tetramitiformis,33
TR_201705,Dendraster excentricus,43
TR_201705,Dictyocha speculum,348
TR_201705,Ditylum brightwellii,4406
TR_201705,Dolichomastix tenuilepis,137
TR_201705,Emiliania huxleyi,63235
TR_201705,Gelidiophycus freshwateri,47
TR_201705,Gomphonema clevei,17
TR_201705,Gracilaria vermiculophylla,116
TR_201705,Halichondria panicea,25
TR_201705,Haramonas dimorpha,121
TR_201705,Harpacticoida sp. DNZ085,40
TR_201705,Hediste diadroma,170
TR_201705,Heterosigma akashiwo,4
TR_201705,Homo sapiens,68
TR_201705,Leathesia marina,3
TR_201705,Leuckartiara octona,110
TR_201705,Lichtheimia ramosa,7
TR_201705,Loxothylacus panopaei,4
TR_201705,Micromonas pusilla,122111
TR_201705,Minutocellus polymorphus,6871
TR_201705,Monocorophium acherusicum,162
TR_201705,Mytilus trossulus,826
TR_201705,Nanomia cara,10
TR_201705,Navicula cryptocephala,39
TR_201705,Nitzschia cf. promare,30
TR_201705,Nitzschia longissima,112
TR_201705,Ostrea lurida,1665
TR_201705,Paracalanus sp. C AC-2013,310
TR_201705,Pedospumella sinomuralis,15
TR_201705,Pennaria disticha,13
TR_201705,Petalonia fascia,6
TR_201705,Phaeocystis globosa,29
TR_201705,Phytophthora sp. 2 EEO-2011,18
TR_201705,Pinnularia sp. 5 CS-2011,6
TR_201705,Plagiogramma sp. IAL-2014a,4
TR_201705,Platynereis sp. CMC02,10
TR_201705,Porichthys notatus,16104
TR_201705,Prasinoderma coloniale,448
TR_201705,Protoperidinium cf. depressum,20
TR_201705,Pseudo-nitzschia delicatissima,36
TR_201705,Pseudo-nitzschia hasleana,65
TR_201705,Pseudochattonella farcimen,268
TR_201705,Pythium tracheiphilum,44
TR_201705,Rhinogobiops nicholsii,114
TR_201705,Rhizosolenia setigera,615
TR_201705,Saprolegnia diclina,11894
TR_201705,Schistomeringos longicornis,67
TR_201705,Skeletonema dohrnii,21
TR_201705,Skeletonema japonicum,871
TR_201705,Synchaeta pectinata,87
TR_201705,Thalassionema nitzschioides,17
TR_201705,Thalassiosira nordenskioeldii,2587
TR_201705,Thalassiosira punctigera,80
TR_201705,Thecamonas trahens,8
TR_201705,Triparma laevis,2294
TR_201705,NA,358688
TR_201706,Asterionellopsis guyunusae,177
TR_201706,Balanus balanus,5453
TR_201706,Balanus glandula,918
TR_201706,Bathycoccus prasinos,24568
TR_201706,Blastocladiella emersonii,643
TR_201706,Calanus pacificus,22996
TR_201706,Callithamnion corymbosum,34
TR_201706,Caulacanthus ustulatus,1039
TR_201706,Chaetoceros socialis,76
TR_201706,Chaetoceros sp. MBTD-CMFRI-S062,184
TR_201706,Chattonella subsalsa,1229
TR_201706,Chrysochromulina sp. CCMP291,689
TR_201706,Chthamalus dalli,1132
TR_201706,Crassostrea gigas,337
TR_201706,Crepipatella lingulata,4873
TR_201706,Cylindrotheca closterium,505
TR_201706,Cymbomonas tetramitiformis,135
TR_201706,Dictyocha speculum,5311
TR_201706,Ditylum brightwellii,773
TR_201706,Dolichomastix tenuilepis,89
TR_201706,Emiliania huxleyi,6709
TR_201706,Gelidiophycus freshwateri,88
TR_201706,Gelidium coulteri,148
TR_201706,Gomphonema clevei,6
TR_201706,Gracilaria vermiculophylla,479
TR_201706,Haptoglossa sp. DM2 4/12,3
TR_201706,Haramonas dimorpha,74
TR_201706,Hematodinium sp.,69
TR_201706,Lichtheimia ramosa,257
TR_201706,Lottia paradigitalis,892
TR_201706,Loxothylacus panopaei,15461
TR_201706,Micromonas pusilla,78863
TR_201706,Minutocellus polymorphus,4502
TR_201706,Mytilus trossulus,11868
TR_201706,Navicula cryptocephala,43
TR_201706,Nuttallia olivacea,287
TR_201706,Ostrea lurida,23484
TR_201706,Paracalanus sp. C AC-2013,6185
TR_201706,Pedospumella sinomuralis,100
TR_201706,Penicillium rubens,4
TR_201706,Phaeocystis antarctica,3359
TR_201706,Plagiogramma sp. IAL-2014a,8
TR_201706,Porichthys notatus,3780
TR_201706,Poteriospumella lacustris,68
TR_201706,Prasinoderma coloniale,2082
TR_201706,Protoperidinium cf. depressum,8
TR_201706,Pseudocalanus newmani,5
TR_201706,Pseudochattonella farcimen,8537
TR_201706,Pythium tracheiphilum,144
TR_201706,Rhizosolenia setigera,2024
TR_201706,Saxidomus gigantea,6
TR_201706,Skeletonema dohrnii,2859
TR_201706,Skeletonema japonicum,139
TR_201706,Thalassiosira nordenskioeldii,9450
TR_201706,Triparma laevis,1742
TR_201706,NA,533552
TR_201707,Balanus glandula,6
TR_201707,Barantolla americana CMC01,6
TR_201707,Bathycoccus prasinos,17502
TR_201707,Blastocladiella emersonii,7
TR_201707,Botrylloides violaceus,25
TR_201707,Ceramium sp. 3Cal,264
TR_201707,Chaetoceros socialis,38
TR_201707,Chrysochromulina sp. CCMP291,5
TR_201707,Crassostrea gigas,18
TR_201707,Cylindrotheca closterium,18554
TR_201707,Emiliania huxleyi,290000
TR_201707,Gelidiophycus freshwateri,20
TR_201707,Gracilaria vermiculophylla,6
TR_201707,Halichondria panicea,6
TR_201707,Hematodinium sp.,30
TR_201707,Leucocryptos marina,6
TR_201707,Littorina scutulata,4
TR_201707,Loxothylacus panopaei,302
TR_201707,Micromonas pusilla,67027
TR_201707,Minutocellus polymorphus,247735
TR_201707,Mytilus trossulus,7
TR_201707,Navicula cryptocephala,1239
TR_201707,Nitzschia cf. promare,9
TR_201707,Nitzschia longissima,450
TR_201707,Ostrea lurida,7296
TR_201707,Paracalanus sp. C AC-2013,546
TR_201707,Platynereis sp. CMC02,6
TR_201707,Podosira stelligera,143
TR_201707,Porichthys notatus,205
TR_201707,Prasinoderma coloniale,1069
TR_201707,Pseudochattonella farcimen,396
TR_201707,Ruditapes philippinarum,890
TR_201707,Saprolegnia diclina,49
TR_201707,Thalassiosira nordenskioeldii,10
TR_201707,Thalassiosira punctigera,461
TR_201707,Triparma laevis,641
TR_201707,NA,518331
TR_201708,Balanus glandula,53
TR_201708,Barantolla americana CMC01,5
TR_201708,Bathycoccus prasinos,134428
TR_201708,Callithamnion corymbosum,6
TR_201708,Caulacanthus ustulatus,42
TR_201708,Chrysochromulina sp. CCMP291,10
TR_201708,Coscinodiscus wailesii,302
TR_201708,Crassostrea gigas,154
TR_201708,Cylindrotheca closterium,385
TR_201708,Cymbomonas tetramitiformis,350
TR_201708,Dictyocha speculum,4
TR_201708,Dolichomastix tenuilepis,213
TR_201708,Emiliania huxleyi,670
TR_201708,Gallus gallus,8
TR_201708,Gracilaria vermiculophylla,41
TR_201708,Harpacticoida sp. DNZ085,265
TR_201708,Hemigrapsus oregonensis,7
TR_201708,Hemipodia simplex,22
TR_201708,Heterocapsa rotundata,35
TR_201708,Hincksia hincksiae,3
TR_201708,Homo sapiens,30
TR_201708,Lichtheimia ramosa,38
TR_201708,Littorina plena,545
TR_201708,Micromonas pusilla,200925
TR_201708,Minutocellus polymorphus,12087
TR_201708,Navicula cryptocephala,215
TR_201708,Ostrea lurida,42
TR_201708,Paracalanus sp. C AC-2013,2964
TR_201708,Porichthys notatus,44
TR_201708,Poteriospumella lacustris,100
TR_201708,Pseudochattonella farcimen,920
TR_201708,Rhizosolenia setigera,46
TR_201708,Ruditapes philippinarum,42
TR_201708,Saprolegnia diclina,314
TR_201708,Skeletonema dohrnii,15
TR_201708,Stiliger fuscovittatus,102
TR_201708,Thalassiosira nordenskioeldii,65
TR_201708,Thalassiosira punctigera,17
TR_201708,Triparma laevis,19
TR_201708,NA,630006
TR_201709,Albugo candida,5
TR_201709,Asterionellopsis guyunusae,1107
TR_201709,Balanus glandula,1504
TR_201709,Bathycoccus prasinos,39231
TR_201709,Brachionidae sp. SHYT150702c,9
TR_201709,Cafeteria roenbergensis,158
TR_201709,Caulacanthus ustulatus,817
TR_201709,Chaetoceros socialis,523
TR_201709,Chordariaceae sp. 2 AP-2014,154
TR_201709,Chrysochromulina sp. CCMP291,7
TR_201709,Cliona chilensis,829
TR_201709,Cryptocotyle lingua,166
TR_201709,Cylindrotheca closterium,1267
TR_201709,Cymatogaster aggregata,164
TR_201709,Cymbomonas tetramitiformis,319
TR_201709,Dendraster excentricus,173
TR_201709,Emiliania huxleyi,6189
TR_201709,Gracilaria vermiculophylla,13959
TR_201709,Halicyclops itohi,335
TR_201709,Haptoglossa zoospora,13
TR_201709,Harpacticoida sp. DNZ085,7449
TR_201709,Homo sapiens,647
TR_201709,Leuckartiara octona,23
TR_201709,Leucocryptos marina,157
TR_201709,Littorina plena,1343
TR_201709,Lottia paradigitalis,174
TR_201709,Micromonas pusilla,34294
TR_201709,Minutocellus polymorphus,102882
TR_201709,Monocorophium acherusicum,7
TR_201709,Muggiaea atlantica,12
TR_201709,Mytilus trossulus,55
TR_201709,Nanomia cara,13
TR_201709,Navicula cryptocephala,42
TR_201709,Nuttallia olivacea,16
TR_201709,Paracalanus sp. C AC-2013,5
TR_201709,Pedospumella sinomuralis,75
TR_201709,Petalonia fascia,50
TR_201709,Phaeocystis antarctica,5
TR_201709,Prasinoderma coloniale,59
TR_201709,Pseudochattonella farcimen,283
TR_201709,Pycnococcus provasolii,52
TR_201709,Pythium tracheiphilum,293
TR_201709,Ruditapes philippinarum,5870
TR_201709,Skeletonema dohrnii,83
TR_201709,Thalassiosira nordenskioeldii,34
TR_201709,Triparma laevis,2141
TR_201709,NA,271606
TR_201711,Articulospora tetracladia,29
TR_201711,Balanus glandula,147
TR_201711,Bathycoccus prasinos,20103
TR_201711,Botrylloides violaceus,22
TR_201711,Brachionidae sp. SHYT150702c,28
TR_201711,Callithamnion corymbosum,232
TR_201711,Caulacanthus ustulatus,475
TR_201711,Chaetoceros socialis,8206
TR_201711,Chattonella subsalsa,296
TR_201711,Chordariaceae sp. 2 AP-2014,6
TR_201711,Chrysochromulina sp. CCMP291,544
TR_201711,Cliona chilensis,24
TR_201711,Cylindrotheca closterium,421
TR_201711,Dictyocha speculum,119
TR_201711,Ditylum brightwellii,626
TR_201711,Emiliania huxleyi,5920
TR_201711,Gelidiophycus freshwateri,32
TR_201711,Harpacticoida sp. DNZ085,4
TR_201711,Hematodinium sp.,30
TR_201711,Hincksia hincksiae,225
TR_201711,Homo sapiens,28
TR_201711,Hypogymnia vittata,1802
TR_201711,Karlodinium veneficum,68
TR_201711,Leitoscoloplos pugettensis CMC01,108
TR_201711,Lichtheimia ramosa,15
TR_201711,Littorina plena,3
TR_201711,Melosira nummuloides,15721
TR_201711,Micromonas pusilla,3567
TR_201711,Minutocellus polymorphus,6112
TR_201711,Muggiaea atlantica,179
TR_201711,Mytilus trossulus,55
TR_201711,Navicula cryptocephala,26
TR_201711,Ostrea lurida,443
TR_201711,Paracalanus sp. C AC-2013,88
TR_201711,Pedospumella sinomuralis,6
TR_201711,Phaeocystis antarctica,11962
TR_201711,Phaeocystis globosa,953
TR_201711,Phytophthora megasperma,1646
TR_201711,Phytophthora taxon paludosa,68
TR_201711,Poteriospumella lacustris,110
TR_201711,Protoperidinium cf. depressum,228
TR_201711,Pseudochattonella farcimen,96
TR_201711,Pycnococcus provasolii,3297
TR_201711,Pythium pachycaule,3
TR_201711,Pythium sp. CAL-2011c,7
TR_201711,Pythium tracheiphilum,220
TR_201711,Rhizosolenia setigera,343
TR_201711,Ruditapes philippinarum,111
TR_201711,Skeletonema dohrnii,260
TR_201711,Skeletonema japonicum,39
TR_201711,Styela gibbsii,5
TR_201711,Thalassiosira nordenskioeldii,1809
TR_201711,Thalassiosira punctigera,1148
TR_201711,Triparma laevis,431
TR_201711,NA,281772
TR_201801,Balanus balanus,9553
TR_201801,Balanus glandula,396
TR_201801,Bathycoccus prasinos,125331
TR_201801,Centropages abdominalis,3517
TR_201801,Chaetoceros socialis,58
TR_201801,Chattonella subsalsa,1291
TR_201801,Chthamalus dalli,9
TR_201801,Dendraster excentricus,84
TR_201801,Dictyocha speculum,8091
TR_201801,Ditylum brightwellii,316
TR_201801,Gelidiophycus freshwateri,146
TR_201801,Hemigrapsus oregonensis,103
TR_201801,Heterocapsa rotundata,1660
TR_201801,Hincksia hincksiae,3208
TR_201801,Homo sapiens,159
TR_201801,Littorina plena,1751
TR_201801,Lottia paradigitalis,287
TR_201801,Melosira nummuloides,6111
TR_201801,Micromonas pusilla,106953
TR_201801,Minutocellus polymorphus,30311
TR_201801,Muggiaea atlantica,4
TR_201801,Nitzschia cf. recta RT-2009,52
TR_201801,Paracalanus sp. C AC-2013,43
TR_201801,Phaeocystis antarctica,15628
TR_201801,Phaeocystis globosa,556
TR_201801,Pycnococcus provasolii,247
TR_201801,Pyramimonas parkeae,40
TR_201801,Pythium pachycaule,32
TR_201801,Pythium tracheiphilum,67
TR_201801,Rhizosolenia setigera,76
TR_201801,Skeletonema dohrnii,42
TR_201801,Stelligera rigida,258
TR_201801,Thalassionema nitzschioides,383
TR_201801,Thalassiosira nordenskioeldii,835
TR_201801,Thalassiosira punctigera,6
TR_201801,Triparma laevis,1287
TR_201801,NA,69410
TR_201803,Acartia longiremis,93
TR_201803,Albugo candida,5
TR_201803,Amynthas sp. FJ201111-06,196
TR_201803,Attheya longicornis,298
TR_201803,Balanus balanus,1541
TR_201803,Balanus glandula,7761
TR_201803,Brachionidae sp. SHYT150702c,3
TR_201803,Calanus pacificus,6206
TR_201803,Caulacanthus ustulatus,12
TR_201803,Centropages abdominalis,15517
TR_201803,Chaetoceros socialis,404
TR_201803,Chaetoceros sp. MBTD-CMFRI-S045,55
TR_201803,Chattonella subsalsa,190
TR_201803,Chthamalus dalli,9586
TR_201803,Clunio tsushimensis,21832
TR_201803,Coscinodiscus wailesii,297
TR_201803,Crassostrea gigas,6
TR_201803,Cylindrotheca closterium,279
TR_201803,Dictyocha speculum,126
TR_201803,Ditylum brightwellii,599
TR_201803,Gelidiophycus freshwateri,78
TR_201803,Gracilaria vermiculophylla,337
TR_201803,Harmothoe fragilis,4146
TR_201803,Hematodinium sp.,188
TR_201803,Homo sapiens,735
TR_201803,Lichtheimia ramosa,31
TR_201803,Littorina plena,30696
TR_201803,Lottia paradigitalis,243
TR_201803,Melanosiphon intestinalis,23
TR_201803,Melosira nummuloides,382
TR_201803,Membranipora membranacea,18
TR_201803,Micromonas pusilla,5
TR_201803,Minutocellus polymorphus,389
TR_201803,Muggiaea atlantica,413
TR_201803,Navicula cryptocephala,79
TR_201803,Navicula sp. BOLD:AAO6949,5
TR_201803,Nitzschia cf. promare,26
TR_201803,Nitzschia cf. recta RT-2009,2
TR_201803,Onchidoris bilamellata,84
TR_201803,Paramoeba pemaquidensis,31
TR_201803,Parvamoeba rugata,28
TR_201803,Pedospumella sinomuralis,33
TR_201803,Petalonia fascia,253
TR_201803,Phaeocystis antarctica,630
TR_201803,Phaeocystis globosa,7
TR_201803,Platynereis sp. CMC02,9
TR_201803,Podosira stelligera,436
TR_201803,Polynoidae sp. C_0250,3585
TR_201803,Poteriospumella lacustris,21
TR_201803,Protoperidinium cf. depressum,17
TR_201803,Pseudo-nitzschia delicatissima,28
TR_201803,Pseudocalanus newmani,126
TR_201803,Pythium pachycaule,14
TR_201803,Pythium tracheiphilum,209
TR_201803,Rhizosolenia setigera,2385
TR_201803,Scopalina ruetzleri,62
TR_201803,Scytosiphon lomentaria,14
TR_201803,Skeletonema japonicum,616
TR_201803,Synchaeta pectinata,445
TR_201803,Thalassionema nitzschioides,99
TR_201803,Thalassiosira nordenskioeldii,2630
TR_201803,Thalassiosira punctigera,203
TR_201803,Triparma laevis,95
TR_201803,NA,246991
TR_201805,Aequorea sp. MW-2012,130
TR_201805,Albugo candida,15
TR_201805,Anisolpidium rosenvingei,244
TR_201805,Attheya longicornis,31
TR_201805,Bathycoccus prasinos,413
TR_201805,Botrylloides violaceus,9
TR_201805,Calanus pacificus,66
TR_201805,Callithamnion corymbosum,19
TR_201805,Caulacanthus ustulatus,21
TR_201805,Ceramium sp. 3Cal,82
TR_201805,Chattonella subsalsa,61
TR_201805,Chondracanthus exasperatus,153
TR_201805,Chrysochromulina sp. CCMP291,16
TR_201805,Cliona chilensis,43
TR_201805,Clytia languida,5
TR_201805,Coscinodiscus wailesii,1023
TR_201805,Cylindrotheca closterium,2649
TR_201805,Dictyocha speculum,158
TR_201805,Ditylum brightwellii,94
TR_201805,Ectocarpus siliculosus,87
TR_201805,Emiliania huxleyi,1139
TR_201805,Evasterias troschelii,4
TR_201805,Gomphonema parvulum,454
TR_201805,Gracilaria vermiculophylla,8
TR_201805,Harpacticoida sp. DNZ085,10021
TR_201805,Leucocryptos marina,8
TR_201805,Lichtheimia ramosa,71
TR_201805,Littorina plena,5055
TR_201805,Littorina scutulata,177
TR_201805,Lomentaria hakodatensis,33
TR_201805,Lottia paradigitalis,392
TR_201805,Mayamaea permitis,46
TR_201805,Melosira nummuloides,101
TR_201805,Micromonas pusilla,8876
TR_201805,Minutocellus polymorphus,15004
TR_201805,Mytilus trossulus,9
TR_201805,Navicula cryptocephala,287
TR_201805,Navicula ramosissima,312
TR_201805,Nitzschia cf. promare,1027
TR_201805,Nitzschia cf. recta RT-2009,131
TR_201805,Nitzschia longissima,359
TR_201805,Nuttallia olivacea,30
TR_201805,Obelia bidentata,32
TR_201805,Orthopyxis integra,16
TR_201805,Ostrea lurida,63535
TR_201805,Paracalanus sp. C AC-2013,122
TR_201805,Paramoeba pemaquidensis,32
TR_201805,Parvamoeba rugata,41
TR_201805,Pectinaria granulata CMC01,972
TR_201805,Pedospumella sinomuralis,93
TR_201805,Penicillium rubens,8
TR_201805,Pennaria disticha,19
TR_201805,Petalonia fascia,13
TR_201805,Phacellophora camtschatica,62
TR_201805,Pinnularia sp. 5 CS-2011,8242
TR_201805,Pinnularia subanglica,25
TR_201805,Pisaster ochraceus,28573
TR_201805,Placoneis sp. WJS-2015a,9
TR_201805,Platynereis sp. CMC02,152
TR_201805,Podosira stelligera,1229
TR_201805,Porichthys notatus,13738
TR_201805,Poteriospumella lacustris,6
TR_201805,Pseudochattonella farcimen,649
TR_201805,Pycnococcus provasolii,72
TR_201805,Rhinogobiops nicholsii,655
TR_201805,Rhizosolenia setigera,314
TR_201805,Saprolegnia diclina,490
TR_201805,Sarcodiotheca sp. 2gaudichaudii,22
TR_201805,Scopalina ruetzleri,31
TR_201805,Sellaphora pupula,484
TR_201805,Skeletonema dohrnii,32
TR_201805,Thalassionema nitzschioides,98
TR_201805,Thalassiosira nordenskioeldii,1592
TR_201805,Thalassiosira punctigera,4841
TR_201805,Triparma laevis,1489
TR_201805,NA,189022
TR_201807,Acremonium cf. chrysogenum DAOM 226667,52
TR_201807,Bathycoccus prasinos,12652
TR_201807,Botrylloides violaceus,16
TR_201807,Calanus pacificus,747
TR_201807,Caulacanthus ustulatus,125
TR_201807,Ceramium sp. 3Cal,3
TR_201807,Chaetoceros socialis,16
TR_201807,Chrysochromulina sp. CCMP291,56
TR_201807,Chthamalus dalli,39
TR_201807,Cliona chilensis,95
TR_201807,Clunio tsushimensis,50
TR_201807,Crassostrea gigas,375
TR_201807,Cylindrotheca closterium,441
TR_201807,Cylindrotheca fusiformis,3
TR_201807,Cymbomonas tetramitiformis,190
TR_201807,Emiliania huxleyi,5412
TR_201807,Gelidiophycus freshwateri,5
TR_201807,Gracilaria vermiculophylla,177
TR_201807,Harpacticoida sp. DNZ085,44
TR_201807,Hemigrapsus oregonensis,9
TR_201807,Heterocapsa rotundata,20
TR_201807,Homo sapiens,36
TR_201807,Kellia porculus,36
TR_201807,Lichtheimia ramosa,63
TR_201807,Littorina plena,57
TR_201807,Lottia paradigitalis,171
TR_201807,Loxothylacus panopaei,113
TR_201807,Martensia jejuensis,11
TR_201807,Membranipora membranacea,53
TR_201807,Micromonas pusilla,28789
